# config  n_knots  n_nodes  x  order  rel_diff
2sg  40  48  5.011872e-04  NLO  1.378597e-04
2sg  40  48  6.606934e-04  NLO  1.684820e-04
2sg  40  48  8.709636e-04  NLO  2.020280e-04
2sg  40  48  1.148154e-03  NLO  2.389941e-04
2sg  40  48  1.513561e-03  NLO  2.798978e-04
2sg  40  48  1.995262e-03  NLO  3.251802e-04
2sg  40  48  2.630268e-03  NLO  3.750177e-04
2sg  40  48  3.467369e-03  NLO  4.289915e-04
2sg  40  48  4.570882e-03  NLO  4.855495e-04
2sg  40  48  6.025596e-03  NLO  5.411876e-04
2sg  40  48  7.943282e-03  NLO  5.893027e-04
2sg  40  48  1.047129e-02  NLO  6.187469e-04
2sg  40  48  1.380384e-02  NLO  6.122964e-04
2sg  40  48  1.819701e-02  NLO  5.455967e-04
2sg  40  48  2.398833e-02  NLO  3.877073e-04
2sg  40  48  3.162278e-02  NLO  1.052051e-04
2sg  40  48  4.168694e-02  NLO  3.168595e-04
2sg  40  48  5.495409e-02  NLO  9.077423e-04
2sg  40  48  7.244360e-02  NLO  1.619399e-03
2sg  40  48  9.549926e-02  NLO  2.303543e-03
2sg  40  48  1.258925e-01  NLO  2.646438e-03
2sg  40  48  1.659587e-01  NLO  1.147661e-03
2sg  40  48  2.187762e-01  NLO  1.484764e-04
2sg  40  48  2.884032e-01  NLO  7.256949e-05
2sg  40  48  3.801894e-01  NLO  5.853675e-04
2sg  40  48  5.011872e-01  NLO  1.353428e-03
2sg  40  48  6.606934e-01  NLO  5.537525e-03
2sg  40  48  2.187762e-04  NNLO  5.161841e-04
2sg  40  48  2.884032e-04  NNLO  5.821360e-04
2sg  40  48  3.801894e-04  NNLO  6.666761e-04
2sg  40  48  5.011872e-04  NNLO  7.740084e-04
2sg  40  48  6.606934e-04  NNLO  9.074127e-04
2sg  40  48  8.709636e-04  NNLO  1.065504e-03
2sg  40  48  1.148154e-03  NNLO  1.232611e-03
2sg  40  48  1.513561e-03  NNLO  1.358177e-03
2sg  40  48  1.995262e-03  NNLO  1.329211e-03
2sg  40  48  2.630268e-03  NNLO  9.895590e-04
2sg  40  48  3.467369e-03  NNLO  3.022423e-04
2sg  40  48  4.570882e-03  NNLO  5.020616e-04
2sg  40  48  6.025596e-03  NNLO  1.135519e-03
2sg  40  48  7.943282e-03  NNLO  1.501205e-03
2sg  40  48  1.047129e-02  NNLO  1.637151e-03
2sg  40  48  1.380384e-02  NNLO  1.595399e-03
2sg  40  48  1.819701e-02  NNLO  1.398827e-03
2sg  40  48  2.398833e-02  NNLO  1.041067e-03
2sg  40  48  3.162278e-02  NNLO  4.966611e-04
2sg  40  48  4.168694e-02  NNLO  3.057551e-04
2sg  40  48  5.495409e-02  NNLO  1.327206e-03
2sg  40  48  7.244360e-02  NNLO  2.528462e-03
2sg  40  48  9.549926e-02  NNLO  3.724646e-03
2sg  40  48  1.258925e-01  NNLO  4.442168e-03
2sg  40  48  1.659587e-01  NNLO  2.043045e-03
2sg  40  48  2.187762e-01  NNLO  2.756990e-04
2sg  40  48  2.884032e-01  NNLO  1.932366e-04
2sg  40  48  3.801894e-01  NNLO  1.332608e-03
2sg  40  48  5.011872e-01  NNLO  3.035957e-03
2sg  40  48  6.606934e-01  NNLO  1.414690e-02
1sg  60  61  2.187762e-04  LO  1.306748e-05
1sg  60  61  2.884032e-04  LO  2.893427e-05
1sg  60  61  3.801894e-04  LO  2.569506e-06
1sg  60  61  5.011872e-04  LO  3.161792e-05
1sg  60  61  6.606934e-04  LO  1.065171e-05
1sg  60  61  8.709636e-04  LO  2.999661e-05
1sg  60  61  1.148154e-03  LO  1.870024e-05
1sg  60  61  1.513561e-03  LO  2.249328e-05
1sg  60  61  1.995262e-03  LO  2.584294e-05
1sg  60  61  2.630268e-03  LO  7.219275e-06
1sg  60  61  3.467369e-03  LO  3.107850e-05
1sg  60  61  4.570882e-03  LO  5.407172e-06
1sg  60  61  6.025596e-03  LO  3.324446e-05
1sg  60  61  7.943282e-03  LO  1.424980e-05
1sg  60  61  1.047129e-02  LO  3.086260e-05
1sg  60  61  1.380384e-02  LO  2.376565e-05
1sg  60  61  1.819701e-02  LO  2.156157e-05
1sg  60  61  2.398833e-02  LO  3.413623e-05
1sg  60  61  3.162278e-02  LO  8.758691e-14
1sg  60  61  4.168694e-02  LO  4.647368e-05
1sg  60  61  5.495409e-02  LO  1.316107e-05
1sg  60  61  7.244360e-02  LO  6.321719e-05
1sg  60  61  9.549926e-02  LO  3.899122e-05
1sg  60  61  1.258925e-01  LO  8.448166e-05
1sg  60  61  1.659587e-01  LO  9.978609e-05
1sg  60  61  2.187762e-01  LO  7.671509e-05
1sg  60  61  2.884032e-01  LO  2.071554e-04
1sg  60  61  3.801894e-01  LO  1.616476e-05
1sg  60  61  5.011872e-01  LO  1.571226e-03
1sg  60  61  6.606934e-01  LO  5.056743e-03
1sg  60  61  2.187762e-04  NLO  6.244955e-06
1sg  60  61  2.884032e-04  NLO  2.469575e-05
1sg  60  61  3.801894e-04  NLO  1.728872e-06
1sg  60  61  5.011872e-04  NLO  3.377103e-05
1sg  60  61  6.606934e-04  NLO  1.747972e-05
1sg  60  61  8.709636e-04  NLO  4.122338e-05
1sg  60  61  1.148154e-03  NLO  3.687590e-05
1sg  60  61  1.513561e-03  NLO  4.662591e-05
1sg  60  61  1.995262e-03  NLO  6.000842e-05
1sg  60  61  2.630268e-03  NLO  5.014555e-05
1sg  60  61  3.467369e-03  NLO  8.639557e-05
1sg  60  61  4.570882e-03  NLO  7.446730e-05
1sg  60  61  6.025596e-03  NLO  1.135531e-04
1sg  60  61  7.943282e-03  NLO  1.109293e-04
1sg  60  61  1.047129e-02  NLO  1.334407e-04
1sg  60  61  1.380384e-02  NLO  1.342414e-04
1sg  60  61  1.819701e-02  NLO  1.258226e-04
1sg  60  61  2.398833e-02  NLO  1.105932e-04
1sg  60  61  3.162278e-02  NLO  5.199833e-05
1sg  60  61  4.168694e-02  NLO  1.299199e-05
1sg  60  61  5.495409e-02  NLO  1.288673e-04
1sg  60  61  7.244360e-02  NLO  2.752596e-04
1sg  60  61  9.549926e-02  NLO  4.279245e-04
1sg  60  61  1.258925e-01  NLO  5.697913e-04
1sg  60  61  1.659587e-01  NLO  5.706898e-04
1sg  60  61  2.187762e-01  NLO  2.515059e-04
1sg  60  61  2.884032e-01  NLO  4.733418e-04
1sg  60  61  3.801894e-01  NLO  2.387304e-03
1sg  60  61  5.011872e-01  NLO  3.351714e-03
1sg  60  61  6.606934e-01  NLO  2.364084e-02
1sg  60  61  2.187762e-04  NNLO  1.051322e-04
1sg  60  61  2.884032e-04  NNLO  1.371036e-04
1sg  60  61  3.801894e-04  NNLO  1.068516e-04
1sg  60  61  5.011872e-04  NNLO  1.805469e-04
1sg  60  61  6.606934e-04  NNLO  1.457028e-04
1sg  60  61  8.709636e-04  NNLO  2.308883e-04
1sg  60  61  1.148154e-03  NNLO  2.070930e-04
1sg  60  61  1.513561e-03  NNLO  2.242441e-04
1sg  60  61  1.995262e-03  NNLO  2.434899e-04
